Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.DeviceInfo.X_CT-COM_ReConnect,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_ServiceManage,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_Syslog,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_TeleComAccount,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_TeleComAccount.Enable,false,2026-02-05T20:34:07.921Z,true,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_TeleComAccount.Password,false,2026-02-05T20:34:07.921Z,true,2026-02-05T20:34:07.921Z,"S1liw4n9i508",xsd:string,2026-02-23T02:27:57.174Z,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_UPLink,false,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_UPNP,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.XponInterface,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceSummary,false,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"InternetGatewayDevice:1.4[](Baseline:2,EthernetLAN:2,WiFiLAN:2,WiFiWPS:1,ADSLWAN:1,ADSL2WAN:1,Time:2,CaptivePortal:1,IPPing:1,TraceRoute:1,Download:1,DownloadTCP:1,Upload:1,UploadTCP:1,UDPEcho:1,UDPEchoPlus:1,ATMLoopback:1,DSLDiagnostics:1,ADSL2DSLDiagnostics:1,DeviceAssociation:2,DHCPCondServing:1,DHCPOption:1)",xsd:string,2026-02-23T03:07:58.552Z,,,,
InternetGatewayDevice.DownloadDiagnostics,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.IPPingDiagnostics,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.LANConfigSecurity,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.LANDevice,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.LANDevice.1,true,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts,true,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host,true,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1,true,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.Active,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.AddressSource,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.HostName,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"POCO-X7-Pro",xsd:string,2026-02-23T03:07:58.559Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.IPAddress,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"192.168.101.72",xsd:string,2026-02-23T03:07:58.559Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.InterfaceType,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"802.11",xsd:string,2026-02-23T03:07:58.559Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.Layer2Interface,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.LeaseTimeRemaining,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.MACAddress,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"46:a9:d8:6c:ba:e4",xsd:string,2026-02-23T03:07:58.559Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2,true,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.Active,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.AddressSource,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.HostName,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"V2027",xsd:string,2026-02-23T03:07:58.559Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.IPAddress,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"192.168.101.71",xsd:string,2026-02-23T03:07:58.559Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.InterfaceType,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"802.11",xsd:string,2026-02-23T03:07:58.559Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.Layer2Interface,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.LeaseTimeRemaining,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.MACAddress,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"1e:11:6e:b0:6e:48",xsd:string,2026-02-23T03:07:58.559Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3,true,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.Active,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.AddressSource,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.HostName,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"OPPO-A5",xsd:string,2026-02-23T03:07:58.559Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.IPAddress,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"192.168.101.70",xsd:string,2026-02-23T03:07:58.559Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.InterfaceType,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"802.11",xsd:string,2026-02-23T03:07:58.559Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.Layer2Interface,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.LeaseTimeRemaining,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.MACAddress,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"2e:05:64:43:49:15",xsd:string,2026-02-23T03:07:58.559Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4,true,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.Active,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.AddressSource,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.HostName,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"OPPO-A12",xsd:string,2026-02-23T03:07:58.559Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.IPAddress,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"192.168.101.73",xsd:string,2026-02-23T03:07:58.559Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.InterfaceType,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"802.11",xsd:string,2026-02-23T03:07:58.559Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.Layer2Interface,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.LeaseTimeRemaining,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.MACAddress,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"20:64:cb:c2:fd:21",xsd:string,2026-02-23T03:07:58.559Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5,true,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.Active,false,2026-02-23T03:07:58.551Z,false,2026-02-23T03:07:58.551Z,"",,,,,,
