Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.LANDevice.1.Hosts.Host.10.AddressSource,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.10.ClientID,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.10.HostName,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"OPPO-A7",xsd:string,2026-02-23T03:45:53.862Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.10.IPAddress,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"192.168.101.2",xsd:string,2026-02-23T03:45:53.862Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.10.InterfaceType,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"802.11",xsd:string,2026-02-23T03:45:53.862Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.10.Layer2Interface,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.10.LeaseTimeRemaining,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.10.MACAddress,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"D8:1E:DD:5B:F4:19",xsd:string,2026-02-23T03:45:53.862Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.10.UserClassID,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.10.VendorClassID,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.111,true,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.111.Active,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.111.AddressSource,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.111.ClientID,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.111.HostName,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"OPPO-Reno14-F-5G",xsd:string,2026-02-23T03:45:53.862Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.111.IPAddress,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"192.168.101.8",xsd:string,2026-02-23T03:45:53.862Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.111.InterfaceType,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"802.11",xsd:string,2026-02-23T03:45:53.862Z,,,,
